Year (TT),Month (TT),Day (0h TT),MJD (0h TT),X [arcsec],Y [arcsec],s [arcsec]
1980,9,11,44493,-391.41763789672300,-7.14453521064200,-0.00857793234264
1980,9,12,44494,-391.41938984255400,-7.14044042590300,-0.00857401212762
1980,9,13,44495,-391.41552230797900,-7.14879867992900,-0.00858197411505
1980,9,14,44496,-391.40200459427000,-7.16636882046700,-0.00859880432414
1980,9,15,44497,-391.37614285081500,-7.18864724684700,-0.00862029839440
1980,9,16,44498,-391.33687364853300,-7.21034722535800,-0.00864150069927
1980,9,17,44499,-391.28498627822600,-7.22592911136000,-0.00865717875993
1980,9,18,44500,-391.22329140632500,-7.23023668163600,-0.00866239963061
1980,9,19,44501,-391.15668135465300,-7.21933798685900,-0.00865331982044
1980,9,20,44502,-391.09187962579700,-7.19164150721700,-0.00862826690929
1980,9,21,44503,-391.03654588388100,-7.14914961622500,-0.00858897713771
1980,9,22,44504,-390.99745540359200,-7.09832956023200,-0.00854147563840
1980,9,23,44505,-390.97789146783700,-7.04969721970200,-0.00849571640139
1980,9,24,44506,-390.97525365341000,-7.01528032431300,-0.00846317847620
1980,9,25,44507,-390.98063493341900,-7.00424081578600,-0.00845268936983
1980,9,26,44508,-390.98155325606100,-7.01872193354900,-0.00846644938379
1980,9,27,44509,-390.96688051720100,-7.05263436216100,-0.00849884132441
1980,9,28,44510,-390.93114264081200,-7.09433626966600,-0.00853893453986
1980,9,29,44511,-390.87582934789100,-7.13141870647400,-0.00857499126046
1980,9,30,44512,-390.80766313042200,-7.15476434877100,-0.00859830087105
1980,10,1,44513,-390.73554194203600,-7.16031206223400,-0.00860486866277
1980,10,2,44514,-390.66784811795300,-7.14875162872400,-0.00859517163568
1980,10,3,44515,-390.61083435108000,-7.12416225238900,-0.00857292381957
1980,10,4,44516,-390.56801236131200,-7.09245730927000,-0.00854364361160
1980,10,5,44517,-390.54018349896200,-7.06006703223200,-0.00851341655210
1980,10,6,44518,-390.52578858810200,-7.03294408882800,-0.00848793524778
1980,10,7,44519,-390.52141416986500,-7.01583304096300,-0.00847177537895
1980,10,8,44520,-390.52240039108000,-7.01176524773100,-0.00846788942837
1980,10,9,44521,-390.52351170313500,-7.02177757507900,-0.00847732789434
1980,10,10,44522,-390.51962781790300,-7.04485722108600,-0.00849919074603
1980,10,11,44523,-390.50640179213700,-7.07812178586300,-0.00853080910609
1980,10,12,44524,-390.48080862716100,-7.11722214280600,-0.00856813267391
1980,10,13,44525,-390.44152537581900,-7.15690299838900,-0.00860625179639
1980,10,14,44526,-390.38913529280200,-7.19165019103400,-0.00863998662058
1980,10,15,44527,-390.32616526124600,-7.21639119808300,-0.00866452128991
1980,10,16,44528,-390.25695319805000,-7.22723639180300,-0.00867608757725
1980,10,17,44529,-390.18731488738500,-7.22226601642000,-0.00867271782366
1980,10,18,44530,-390.12389986594300,-7.20235354398900,-0.00865506293515
1980,10,19,44531,-390.07305258995700,-7.17186582543100,-0.00862711281768
1980,10,20,44532,-390.03908271621500,-7.13881283437500,-0.00859639068457
1980,10,21,44533,-390.02219866952700,-7.11380593555500,-0.00857298929302
1980,10,22,44534,-390.01698037150400,-7.10732124122400,-0.00856696136521
1980,10,23,44535,-390.01279474830700,-7.12566827979300,-0.00858445449167
1980,10,24,44536,-389.99705100038100,-7.16755853648500,-0.00862441050770
1980,10,25,44537,-389.96025248766500,-7.22377182788800,-0.00867821524032
1980,10,26,44538,-389.89996395438100,-7.28073897951600,-0.00873307445548
1980,10,27,44539,-389.82127109991000,-7.32599449522900,-0.00877716708441
1980,10,28,44540,-389.73389604720500,-7.35227093895500,-0.00880351793467
1980,10,29,44541,-389.64822921833200,-7.35854537094800,-0.00881100436782
1980,10,30,44542,-389.57240547795400,-7.34865345824700,-0.00880308666590
1980,10,31,44543,-389.51109403610000,-7.32904282390400,-0.00878573328295
1980,11,1,44544,-389.46557094310700,-7.30680526652100,-0.00876559316656
1980,11,2,44545,-389.43439151791100,-7.28837711319200,-0.00874876913932
1980,11,3,44546,-389.41417832961500,-7.27882643753600,-0.00874012068890
1980,11,4,44547,-389.40032678947100,-7.28149410273300,-0.00874289328964
1980,11,5,44548,-389.38762792589500,-7.29781644703200,-0.00875852849433
1980,11,6,44549,-389.37085822242900,-7.32727045103300,-0.00878660586821
1980,11,7,44550,-389.34536580361500,-7.36744688840200,-0.00882491754683
1980,11,8,44551,-389.30765133477200,-7.41429514400900,-0.00886970590340
1980,11,9,44552,-389.25588629505000,-7.46258978681300,-0.00891610120867
1980,11,10,44553,-389.19026743802000,-7.50661191093700,-0.00895874848940
1980,11,11,44554,-389.11312316038100,-7.54097493908600,-0.00899256231841
1980,11,12,44555,-389.02872616264000,-7.56150250564600,-0.00901353494100
1980,11,13,44556,-388.94279541134500,-7.56605012391800,-0.00901950982045
1980,11,14,44557,-388.86170415364100,-7.55515421595800,-0.00901081961995
1980,11,15,44558,-388.79142408442800,-7.53240512477100,-0.00899068819002
1980,11,16,44559,-388.73623119816000,-7.50440145802700,-0.00896524518745
1980,11,17,44560,-388.69728258315400,-7.48003547699600,-0.00894289226569
1980,11,18,44561,-388.67141137907400,-7.46883074946000,-0.00893273668153
1980,11,19,44562,-388.65080237831600,-7.47828782300300,-0.00894204564813
1980,11,20,44563,-388.62435517675600,-7.51082329706900,-0.00897329156280
1980,11,21,44564,-388.58104224325200,-7.56175036618800,-0.00902218778234
1980,11,22,44565,-388.51421834241500,-7.61999191096700,-0.00907833684868
1980,11,23,44566,-388.42457365256700,-7.67192036396000,-0.00912886122899
1980,11,24,44567,-388.31981234673300,-7.70649601029400,-0.00916326767663
1980,11,25,44568,-388.21128856159500,-7.71884416677100,-0.00917683311062
1980,11,26,44569,-388.10978021468900,-7.71069557696700,-0.00917103632575
1980,11,27,44570,-388.02258727522200,-7.68833824609700,-0.00915165980619
1980,11,28,44571,-387.95267210456400,-7.65983193390300,-0.00912620360002
1980,11,29,44572,-387.89926559864500,-7.63281233419400,-0.00910183925276
1980,11,30,44573,-387.85903387888200,-7.61327884511500,-0.00908426259383
1980,12,1,44574,-387.82719353328700,-7.60515901249100,-0.00907725758849
1980,12,2,44575,-387.79835561152600,-7.61028615870800,-0.00908264644701
1980,12,3,44576,-387.76713373560300,-7.62852060864300,-0.00910038629528
1980,12,4,44577,-387.72863441306600,-7.65790125161900,-0.00912870865657
1980,12,5,44578,-387.67892677573300,-7.69483092428500,-0.00916429776530
1980,12,6,44579,-387.61553514552200,-7.73437206360800,-0.00920256926821
1980,12,7,44580,-387.53791565290200,-7.77075712839700,-0.00923814112312
1980,12,8,44581,-387.44778648546200,-7.79816867631700,-0.00926554929984
1980,12,9,44582,-387.34914314327300,-7.81173673161800,-0.00928016722212
1980,12,10,44583,-387.24782712863500,-7.80859331521900,-0.00927918998816
1980,12,11,44584,-387.15061145393200,-7.78873967895300,-0.00926246294037
1980,12,12,44585,-387.06390595940900,-7.75545526948100,-0.00923290213068
1980,12,13,44586,-386.99231881580000,-7.71505348105200,-0.00919631561529
1980,12,14,44587,-386.93737132297600,-7.67592573455900,-0.00916055293578
1980,12,15,44588,-386.89666831190600,-7.64693292696400,-0.00913401653786
1980,12,16,44589,-386.86383309864800,-7.63532156607000,-0.00912368674491
1980,12,17,44590,-386.82949614839200,-7.64453643653400,-0.00913301168990
1980,12,18,44591,-386.78346399034500,-7.67257434712600,-0.00916028982799
1980,12,19,44592,-386.71776108727100,-7.71173076413500,-0.00919837795842
1980,12,20,44593,-386.62956635395400,-7.75039651135900,-0.00923636498981
1980,12,21,44594,-386.52261450368300,-7.77667671517200,-0.00926299355760
1980,12,22,44595,-386.40607893326400,-7.78239070228200,-0.00927045111120
1980,12,23,44596,-386.29132422883000,-7.76552227848000,-0.00925669829334
1980,12,24,44597,-386.18818222499800,-7.73007102275400,-0.00922535116181
1980,12,25,44598,-386.10247302469700,-7.68382710801400,-0.00918361683215
1980,12,26,44599,-386.03543768760100,-7.63553796317700,-0.00913965713930
1980,12,27,44600,-385.98461514491400,-7.59272224804800,-0.00910054488052
1980,12,28,44601,-385.94526911176300,-7.56057120864000,-0.00907121923740
1980,12,29,44602,-385.91169465999900,-7.54172789366000,-0.00905425241110
1980,12,30,44603,-385.87814717606000,-7.53652672905700,-0.00905005104627
1980,12,31,44604,-385.83942748817300,-7.54336300082000,-0.00905719202644
1981,1,1,44605,-385.79127221579800,-7.55903207330800,-0.00907274095318
1981,1,2,44606,-385.73069696319500,-7.57902663901200,-0.00909253334217
1981,1,3,44607,-385.65637642705400,-7.59788311632300,-0.00911149518265
1981,1,4,44608,-385.56904395519200,-7.60971437806000,-0.00912412912102
1981,1,5,44609,-385.47177465481200,-7.60903673036600,-0.00912527282643
